Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
44,"브랜드 경영 - 위키백과, 우리 모두의 백과사전",https://ko.wikipedia.org/wiki/%EB%B8%8C%EB%9E%9C%EB%93%9C_%EA%B2%BD%EC%98%81,https://www.businessstudynotes.com/marketing/marketing-management/types-of-product-positioning-strategies/,“What Is Product Positioning? What are its types & strategies?”,31,238,true,false,false,true,false,false,false,false,2025-01-05,2025-05-10,false,false
42,"Comercial de televisión - Wikipedia, la enciclopedia libre",https://es.wikipedia.org/wiki/Comercial_de_televisi%C3%B3n,https://www.businessstudynotes.com/marketing/marketing-management/purpose-structure-public-service-advertisement-psa/,Publicidad de servicio público,39,177,true,false,false,true,false,false,false,false,2024-02-26,2025-02-02,false,true
28,"조직 개발 - 위키백과, 우리 모두의 백과사전",https://ko.wikipedia.org/wiki/%EC%A1%B0%EC%A7%81_%EA%B0%9C%EB%B0%9C,https://www.businessstudynotes.com/hrm/principle-of-management/steps-in-process-of-management-by-objectives/,“Management By Objectives”,28,225,true,false,false,true,false,false,false,false,2024-03-16,2025-01-30,false,true
28,"Crossed Check: Definition, Meaning, and How It Works",https://www.investopedia.com/terms/c/crossedcheck.asp,"https://www.businessstudynotes.com/others/banking-finance/types-crossing-crossing-cheques/#:~:text=The%20other%20objective%20of%20crossing,once%20if%20he%20is%20urgency.",What Is Crossing of Cheques? Explain Types of Check Crossing,15,135,false,false,false,true,false,false,false,false,2024-11-20,2025-05-25,false,false
28,The Overthinking Brain: A New Way to Look at Learning - NICABM,https://www.nicabm.com/brain-science54714/,http://www.businessstudynotes.com/,Business Study Notes,14,97,true,false,false,true,false,false,false,false,2024-03-06,2025-05-25,false,false
27,"조직 개발 - 위키백과, 우리 모두의 백과사전",https://ko.wikipedia.org/wiki/%EC%A1%B0%EC%A7%81_%EA%B0%9C%EB%B0%9C,https://www.businessstudynotes.com/hrm/principle-of-management/steps-in-process-of-management-by-objectives/,원본 문서,30,227,true,false,false,true,false,false,false,false,2025-01-30,2025-04-28,false,false
26,Scope+Diagram+Project+Management - Search Images,https://4.bing.com/images/search?FORM=IRMHIP&q=Scope%2BDiagram%2BProject%2BManagement,https://www.businessstudynotes.com/finance/project-management/project-scope-management/,businessstudynotes.com,36,224,false,false,false,true,false,false,false,false,2024-02-26,2025-02-01,false,true
26,"Bacon Deviled Eggs {Paleo, Whole30}",https://www.paleorunningmomma.com/bacon-deviled-eggs-paleo/,https://www.businessstudynotes.com/hrm/strategy-formulation/,cam,63,185,true,false,false,true,false,false,false,false,2023-12-27,2025-05-24,false,false
25,Feasibility+Study+Process - Search Images,https://4.bing.com/images/search?FORM=IRMHRS&q=Feasibility%2BStudy%2BProcess,https://www.businessstudynotes.com/finance/project-management/feasibility-assessment-definition-process-study/,businessstudynotes.com,41,305,false,false,false,true,false,false,false,false,2024-03-14,2025-02-03,false,true
25,Types+of+Product+Positioning - Αναζήτηση Εικόνες,https://4.bing.com/images/search?FORM=IRMHRS&q=Types%2Bof%2BProduct%2BPositioning,https://www.businessstudynotes.com/marketing/marketing-management/types-of-product-positioning-strategies/,businessstudynotes.com,39,168,false,false,false,true,false,false,false,false,2024-03-18,2025-02-03,false,true
25,Types+of+Advertising - Αναζήτηση Εικόνες,https://4.bing.com/images/search?FORM=RESTAB&q=Types%2Bof%2BAdvertising,https://www.businessstudynotes.com/marketing/advertising-promotion/must-use-types-advertising-media/,businessstudynotes.com,40,169,false,false,false,true,false,false,false,false,2024-03-21,2025-02-03,false,true
