Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
11,,https://buff.ly/2Ff6CaZ,https://www.thinkrelay.com/blog/secret-strategy-customer-support-teams-use/?ref=quuu,,0,0,False,False,False,True,False,False,False,False,2024-08-21,2025-01-22,False,False
15,The web site of ctestsite,https://ctestsite.neocities.org/,https://app.uat.thinkrelay.com/#home,RELAY!,1,0,False,False,False,True,False,False,False,False,2024-10-31,2025-05-08,False,False
17,10 dicas para se destacar em experiência do cliente – Varanda Casa Azul,https://blogs.opovo.com.br/varanda/2018/10/17/10-dicas-para-se-destacar-em-experiencia-do-cliente/,https://thinkrelay.com/blog/customer-service-experience/,Customer Service Experience,3,22,False,False,False,True,False,False,False,False,2024-10-01,2025-05-03,False,False
19,"UX Product Designer at Boomtown Network - Tiburon, CA - Dribbble Design Jobs",https://dribbble.com/jobs/17659-UX-Product-Designer,https://thinkrelay.com/,https://thinkrelay.com,5,55,False,False,False,True,False,False,False,False,2024-07-15,2025-05-12,False,False
5,3 Reasons Why Chatbot Fail | Signals,https://getsignals.ai/blog/3-reasons-why-companies-fail-with-chatbot-optimization/,https://thinkrelay.com/blog/chatbot-statistics-study/,A study from 2018,5,93,False,False,False,True,False,False,False,False,2024-10-29,2025-01-06,False,False
10,Consumer Insights: How Coverage Expectations and Request Channel Can Impact NPS,https://blog.agero.com/consumer-insights-how-coverage-expectations-and-request-channel-can-impact-nps,https://thinkrelay.com/blog/self-service-support/,i https://thinkrelay.com/blog/self-service-support/,6,44,False,False,False,True,False,False,False,False,2024-11-04,2025-05-06,False,False
9,Investing in Support Technology: A Glimpse into the Future,https://www.acquire.io/blog/investing-in-support-technology,https://thinkrelay.com/blog/customer-service-strategy/,customer service strategy,7,60,False,False,False,True,False,False,False,False,2024-10-25,2025-05-07,False,False
35,OvationCXM Developers,https://developers.goboomtown.com/,https://app.thinkrelay.com/,Login,7,8,False,False,False,True,False,False,False,True,2024-11-22,2025-05-12,False,False
8,Help Desk Metrics: 15 Customer Support Statistics to Track and Monitor - Relay | Small business news; tips; networking | BizSugar,https://share.bizsugar.com/CustomerService/help-desk-metrics-15-customer-support-statistics-to-track-and-monitor-relay/,https://thinkrelay.com/blog/help-desk-metrics/,Help Desk Metrics: 15 Customer Support Statistics to Track and Monitor - Relay,7,122,False,False,False,True,False,False,False,False,2024-04-24,2025-02-26,False,True
7,Technology Monitoring: How to Manage Technology Across Distributed Locations,https://www.ovationcxm.com/blog/technology-monitoring-distributed-locations,http://www.thinkrelay.com/monitoring,Boomtown Proactive,7,60,False,False,False,True,False,False,False,False,2024-09-19,2025-05-15,False,False
6,Relay Soft: Avis Prix & Alternatives | Logiciels.Pro,https://www.logiciels.pro/logiciel-saas/relay-soft/,https://thinkrelay.com/pricing/,Pricing page de Relay Soft,9,270,False,False,False,True,False,False,False,False,2024-11-10,2025-02-24,False,False
18,2019 data: communication in the time of chatbots | SurveyMonkey,https://www.surveymonkey.com/curiosity/communication-in-the-time-of-chatbots/,https://thinkrelay.com/blog/chatbot-statistics-study/,a recent study,10,106,False,False,False,True,False,False,False,False,2024-11-01,2025-04-26,False,False
11,"Fuse: Revenue, Competitors, Alternatives",https://growjo.com/company/Fuse,https://thinkrelay.com/,,11,133,False,False,False,True,False,False,False,False,2024-12-29,2025-04-28,False,False
10,What Every Executive Needs to Know About the Ecosystems Reshaping Payment Tech,https://www.paymentsjournal.com/needs-to-know-about-reshaping-payment-tech/,https://thinkrelay.com/blog/business-ecosystems-customer-experiences/,payments ecosystems that are adaptable and flexible,11,60,False,False,False,True,False,False,False,False,2024-11-11,2025-03-31,False,False
18,15 Conversion Rate Optimization Trends You Must Know in 2025,https://www.webfx.com/blog/conversion-rate-optimization/cro-trends/,https://thinkrelay.com/blog/chatbot-statistics-study/,less than half,12,267,False,False,False,True,False,False,False,False,2024-04-16,2025-04-05,False,True
10,Chatbot Development: What It Takes to Create an AI Assistant?,https://www.mtoag.com/blog-detail/chatbot-development-what-it-takes-to-create-your-own-ai-assistant/,https://thinkrelay.com/blog/chatbot-statistics-study/,Relay,14,361,False,False,False,True,False,False,False,False,2025-03-23,2025-05-12,False,False
7,Omnichannel Personalization: Baseline for CX | CMS Connected,https://www.cms-connected.com/News-Archive/April-2019/Omnichannel-Personalization-Baseline-for-CX,https://thinkrelay.com/blog/customer-experience-statistics/,overtake both product and price,14,17,False,False,False,True,False,False,False,False,2023-10-11,2024-12-26,False,True
