Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
8,Privacy page for Carbon And More | Learn how Carbon And More handles privacy,https://explore.openli.com/privacy/carbon-and-more,http://www.carbonandmore.com/policies/privacy-policy,View privacy policy for Carbon And More,2,25,False,False,False,False,False,False,True,False,2024-11-04,2025-04-22,False,False
24,CarbonFootprint (Independent Publisher) - Connectors | Microsoft Learn,https://learn.microsoft.com/en-us/connectors/carbonfootprintip/,https://www.carbonandmore.com/,https://www.carbonandmore.com/,3,31,False,False,False,True,False,False,False,False,2024-11-05,2025-05-09,False,False
10,Top 10 Persefoni Alternatives in 2024,https://www.spotsaas.com/product/persefoni/alternatives,https://www.carbonandmore.com/editions/,Get Free Trial,5,54,False,False,False,True,False,False,False,False,2024-07-04,2025-01-11,False,True
5,3 Ways Branded Site Furnishings Can Lead to Business Growth -,https://www.commercialzone.com/3-ways-branded-site-furnishings-can-lead-to-business-growth/,https://www.carbonandmore.com/do-consumers-prefer-eco-friendly-companies/,55% are willing to pay more for a product or service,5,71,False,False,False,True,False,False,False,False,2024-11-08,2025-04-26,False,False
14,What’s ahead for dentistry in 2022 and beyond? | Delta Dental,https://www1.deltadentalins.com/dentists/fyi-online/2021/dentistry-in-2022.html,https://www.carbonandmore.com/do-consumers-prefer-eco-friendly-companies/,more likely,8,92,False,False,False,True,False,False,False,False,2024-10-30,2025-05-11,False,False
7,Choosing LeanDNA for Sustainable Supply Chain Management,https://www.leandna.com/resources/leandna-for-sustainable-supply-chain-management/,https://www.carbonandmore.com/do-consumers-prefer-eco-friendly-companies/,2014 Nielsen study,9,88,False,False,False,True,False,False,False,False,2024-11-04,2025-04-03,False,False
7,5 Ways to Win the Hearts (and Wallets) of Your Customers | SmallBizClub,https://smallbizclub.com/run-and-grow/5-ways-to-win-the-hearts-and-wallets-of-your-customers/,https://www.carbonandmore.com/do-consumers-prefer-eco-friendly-companies/,Customers prefer eco-friendly companies,10,43,False,False,False,True,False,False,False,False,2024-10-17,2025-04-09,False,False
5,How to Print Shopify Shipping Labels for FedEx & See Negotiated Rates,https://blog.eniture.com/how-to-print-shopify-shipping-labels-fedex-see-negotiated-rates,https://www.carbonandmore.com/do-consumers-prefer-eco-friendly-companies/,environmentally conscious,12,174,False,False,False,True,False,False,False,False,2024-10-28,2025-04-26,False,False
6,4 Sustainable Ideas For A Greener Office Space - Women's Business Daily,https://www.womensbusinessdaily.com/business/4-sustainable-ideas-for-a-greener-office-space/,https://www.carbonandmore.com/do-consumers-prefer-eco-friendly-companies/#:~:text=55%25%20of%20respondents%20reported%20being%20willing%20to%20pay%20more%20for%20products/services%20from%20companies%20committed%20to%20%E2%80%9Cpositive%20social%20and%20environmental%20impact%E2%80%9D,55% of consumers,12,56,False,False,False,True,False,False,False,False,2024-11-15,2025-05-03,False,False
8,Competitive Edge for eCommerce Growth | ShipNetwork,https://www.shipnetwork.com/post/whats-the-secret-to-ecommerce-business-growth-identify-your-competitive-edge,https://www.carbonandmore.com/do-consumers-prefer-eco-friendly-companies/,52%,14,93,False,False,False,True,False,False,False,False,2024-11-06,2025-04-26,False,False
10,Go Green & Be Seen - Recycled Paper Sends the Right Message,https://www.paperpapers.com/news/go-green-and-be-seen-recycled-paper-sends-the-right-message/,https://www.carbonandmore.com/do-consumers-prefer-eco-friendly-companies/,consumers prefer to use eco-friendly companies,14,106,False,False,False,True,False,False,False,False,2025-02-23,2025-05-09,False,False
7,Feel-Good Franchises: Making a Difference and Making Money.,https://www.franchiseba.com/feel-good-franchises/,"https://www.carbonandmore.com/do-consumers-prefer-eco-friendly-companies/#:~:text=52%25%20of%20respondents%20say%20their,sustainable%20products%20over%20conventional%20products.",Carbon and More,14,54,False,False,False,True,False,False,False,False,2024-12-11,2025-05-06,False,False
10,Reasons for Small and Medium-Size Businesses to implement a CSR program. | Research | Asia | Sustainable Business,https://www.eco-business.com/research/reasons-for-small-and-medium-size-businesses-to-implement-a-csr-program/,http://www.carbonandmore.com/wp-content/uploads/2018/01/CSR_Benefits_for_SME.pdf,Download report,15,116,False,False,False,True,False,False,False,False,2024-10-21,2025-05-06,False,False
8,3 Ways Visual Configurators and AR Boost Clothing Shoppers’ Confidence,https://www.threekit.com/blog/3-ways-visual-configurators-ar-boost-clothing-shoppers-confidence,https://www.carbonandmore.com/do-consumers-prefer-eco-friendly-companies/,environmentally conscious,15,95,False,False,False,True,False,False,False,False,2024-10-25,2025-05-09,False,False
8,Greenwashing: How companies use “going green” to offer customers less and cut costs - Egypt,https://np.enterprise.news/2023/12/14/greenwashing-how-companies-use-going-green-to-offer-customers-less-and-cut-costs/,https://www.carbonandmore.com/do-consumers-prefer-eco-friendly-companies/,more inclined,17,1241,False,False,False,True,False,False,False,False,2024-11-02,2025-04-23,False,False
6,Op-Ed: Why Renewable Energy Is the New Must-Have Building Amenity - Cleartrace,https://cleartrace.io/op-ed-why-renewable-energy-is-the-new-must-have-building-amenity/,https://www.carbonandmore.com/do-consumers-prefer-eco-friendly-companies/,Nielsen study,18,24,False,False,False,True,False,False,False,False,2024-11-06,2025-04-25,False,False
53,Why Renewable Energy Is the New Must-Have Building Amenity – Commercial Observer,https://commercialobserver.com/2022/08/why-renewable-energy-must-have-building-amenity/,https://www.carbonandmore.com/do-consumers-prefer-eco-friendly-companies/,Nielsen study,22,176,False,False,False,True,False,False,False,False,2023-11-22,2025-05-08,False,False
8,Why Is Walgreens So Expensive? (Top 10 Reasons),https://www.thecoldwire.com/why-is-walgreens-so-expensive/,https://www.carbonandmore.com/do-consumers-prefer-eco-friendly-companies/,more likely to do business with a company,22,125,False,False,False,True,False,False,False,False,2024-05-03,2025-04-06,False,True
10,The FTC prepares to revise guidelines on sustainability,https://www.supplysidefbj.com/sustainability/-sustainability-needs-new-clarity,https://www.carbonandmore.com/do-consumers-prefer-eco-friendly-companies/,Nielsen study,30,81,False,False,False,True,False,False,False,False,2024-10-23,2025-05-07,False,False
11,Is Environmental Health a Social Determinant of Health? | Privia Health,https://www.priviahealth.com/blog/is-environmental-health-a-social-determinant-of-health/,https://www.carbonandmore.com/do-consumers-prefer-eco-friendly-companies/,Data,32,85,False,False,False,True,False,False,False,False,2024-10-22,2025-05-05,False,False
9,Top 28 Environmental Compliance Tools - Startup Stash,https://startupstash.com/environmental-compliance-tools/,https://www.carbonandmore.com/,Solutions for corporate social responsibility,32,32,False,False,False,True,False,False,False,False,2024-10-28,2025-05-09,False,False
