Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
26,Common Ground // Luxury Botanical Wellness (cgroundcbd) - Profile | Pinterest,https://www.pinterest.com/cgroundcbd/,http://commonground-health.com/,commonground-health.com ; Opens a new tab,1,15,False,False,False,True,False,False,False,False,2023-10-07,2025-03-20,False,False
5,Important Facts About CBD - Healthcare Business Today,https://www.healthcarebusinesstoday.com/important-facts-about-cbd/,https://commonground-health.com/,Common Ground CBD,5,50,False,False,False,True,False,False,False,False,2023-10-21,2025-06-05,False,False
6,Understanding CBN: 7 Facts About a Mysterious Cannabinoid | Entrepreneurs Break,https://entrepreneursbreak.com/understanding-cbn-7-facts-about-a-mysterious-cannabinoid.html,https://commonground-health.com/collections/tinctures-capsules/products/rest,Common Ground CBD,6,32,False,False,False,True,False,False,False,False,2023-12-10,2025-05-25,False,False
10,"Common Ground reviews, photos and discussion - MakeupAlley",https://mua-frontend-v4-prod.makeupalley.com/brand/Common-Ground/Brand=12187/,https://commonground-health.com/,https://commonground-health.com,8,40,False,False,False,True,False,False,False,False,2024-12-13,2025-05-27,False,False
14,"Life-Changing Natural Supplements For Better Hair,…",https://www.inkl.com/news/life-changing-natural-supplements-for-better-hair-skin-health-gut-mood-sleep-and-immunity,https://commonground-health.com/collections/tinctures-capsules/products/wake,Wake Full Spectrum Hemp Extract Tinctures from COMMON GROUND,8,50,False,False,False,True,False,False,False,False,2024-07-22,2025-05-11,False,False
6,» info@commonground-cbd.com,https://retaildesignblog.net/author/17578/?filter=297496&map,https://commonground-health.com/,commonground-health.com/,9,44,False,False,False,True,False,False,False,False,2024-12-18,2025-06-02,False,False
8,Everything I use in my extra shower routine to save my winter my skin - Very Good Light,https://www.verygoodlight.com/2021/01/05/everything-i-use-in-my-extra-shower-routine-to-save-my-winter-my-skin/,https://commonground-health.com/collections/topicals/products/bergamot-body-creme-500-mg?ref=verygoodlight.com,"Common Ground Bergamot Body Creme/ 500mg CBD, $50",24,35,False,False,False,True,False,False,False,False,2024-07-13,2025-05-27,False,False
10,"Holiday Gift Guide 2020: CBD Tea, Drinks, Coffee, Sleep Aids",https://magneticmag.com/2020/12/holiday-gift-guide-2020-cbd-tea-drinks-coffee-sleep-aids/,https://commonground-health.com/,Common Ground,25,41,False,False,False,True,False,False,False,False,2024-05-23,2025-06-04,False,False
13,"If You're An Enneagram Type 1, You Should Try This Wellness Trend",https://www.thelist.com/931560/if-youre-an-enneagram-type-1-you-should-try-this-wellness-trend/,https://commonground-health.com/products/wake,WAKE by Common Grounds,25,26,False,False,False,True,False,False,False,False,2024-12-05,2025-05-19,False,False
6,30+ CBD Websites Built On Shopify in 2020 – Webinopoly,https://webinopoly.com/pages/30-cbd-websites-built-on-shopify-in-2020,https://commonground-health.com/,,27,78,False,False,False,False,False,False,True,False,2023-11-25,2025-06-02,False,False
15,High Grade Hemp Seed and Common Ground: Brands in Action Series,https://www.sxsw.com/news/2020/high-grade-hemp-seed-and-common-ground-brands-in-action-series/,https://commonground-health.com/pages/giving-back,Giving Back Program,29,108,False,False,False,True,False,False,False,False,2024-02-15,2025-05-29,False,False
5,What Exactly is CBD Oil & Why It's Not What You Think | Swift Wellness,https://www.swiftfit.net/blog/what-exactly-is-cbd-oil-amp-why-its-not-what-you-think,https://commonground-health.com/?afmc=swift,Common Ground,30,28,False,False,False,True,False,False,False,False,2024-05-18,2025-04-23,False,True
5,The Partners – The Village,https://thevillage.studio/the-partners/,https://commonground-health.com/,Visit Website,39,17,False,False,False,True,False,False,False,False,2023-09-14,2025-06-04,False,False
11,"30 Brands To Help Keep You Happy, Healthy And/Or Looking Great In The Winter 2020 Season The Hype Magazine: Unveiling the Pulse of Urban Culture - From Hip Hop to Hollywood! Explore a Diverse Tapestry of Stories, Interviews, and Impactful Editorials Spanning Fashion, Gaming, Movies, MMA, EDM, Rock, and Beyond! www.thehypemagazine.com - The Hype Magazine The Hype Magazine - News From Hip Hop To Hollywood!",https://www.thehypemagazine.com/2020/12/30-brands-to-help-keep-you-happy-healthy-and-or-looking-great-in-the-winter-2020-season/,https://commonground-health.com/products/focus,Common Ground,75,124,False,False,False,True,False,False,False,False,2023-12-17,2025-01-23,False,True
33,Fall Austin 2022 | American Field,https://shopaf.co/pages/fall-austin-2022,https://commonground-health.com/,Common Ground (new),81,21,False,False,False,False,False,False,True,False,2024-12-25,2024-12-25,False,False
