Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
8,Privacy page for Nurture | Learn how Nurture handles privacy,https://explore.openli.com/privacy/nurture,http://nurturehq.com/privacy,View privacy policy for Nurture,2,25,False,False,False,False,False,False,True,False,2024-09-16,2025-04-09,False,False
8,Interpreting Insurance: How Good Content Writing Helps You Connect With Your Customer - BKA Content,https://bkacontent.com/interpreting-insurance-how-good-content-writing-helps-you-connect-with-your-customer/,https://www.nurturehq.com/tips/business-decision-makers-prefer-to-get-information-in-a-series-of-articles-versus-an-advertisement,50% of a consumer’s time online is spent engaging with custom content,5,74,False,False,False,True,False,False,False,False,2025-02-17,2025-05-03,False,False
6,Mittelstand Marketing Strategie – Mit Content Marketing zu mehr Sichtbarkeit - Strategie - Contentbird Blog,https://de.contentbird.io/blog/mittelstand-marketing-strategie,https://www.nurturehq.com/tips/business-decision-makers-prefer-to-get-information-in-a-series-of-articles-versus-an-advertisement,80% der Entscheider im B2B Informationen durch eine Artikel-Serie statt durch klassische Werbung,5,61,False,False,False,True,False,False,False,False,2024-08-27,2025-05-17,False,False
6,Unleash the Power of Email Marketing with Proven Tips and Strategies,https://blog.bounceless.io/master-the-art-of-email-marketing-with-these-expert-tips/,"https://www.nurturehq.com/tips/why-ab-testing-of-email-subject-line-is-important/?ref=blog.bounceless.io#:~:text=For%20A%2FB%20testing%20of%20your%20email%20subject%20line%2C,A%20and%20the%20other%20half%20gets%20Version%20B.",d. A/B test your subject lines,6,16,False,False,False,True,False,False,False,False,2024-09-29,2024-12-18,False,False
8,The Essence of Lead Nurturing | Nurture | Small business news; tips; networking | BizSugar,https://share.bizsugar.com/Marketing/the_essence_of_lead_nurturing__nurture/,http://blog.nurturehq.com/the-essence-of-lead-nurturing/,http://blog.nurturehq.com,7,104,False,False,False,True,False,False,False,False,2024-06-15,2025-02-01,False,True
6,Nurture alternatives | API Tracker,https://apitracker.io/a/nurture/alternatives,https://nurturehq.com/,Website,7,16,False,False,False,True,False,False,False,False,2024-10-15,2025-04-21,False,False
5,Nurture - Digital Marketing Supermarket,https://digitalmarketingsupermarket.com/tool/nurture/,http://nurturehq.com/,Visit Website,7,49,False,False,False,True,False,False,False,False,2024-08-26,2025-05-30,False,False
11,Should You Put A Question in the Subject Line of an Email?,https://www.instructionalsolutions.com/blog/question-subject-line,https://www.nurturehq.com/tips/email-subject-line-best-practices-ask-a-question,engages many readers,8,92,False,False,False,True,False,False,False,False,2024-10-16,2025-05-25,False,False
6,12 Free or Super Cheap Marketing Automation Systems | CMS Critic,https://cmscritic.com/12-free-or-super-cheap-marketing-automation-systems,http://www.nurturehq.com/,Learn more about Nurture,12,16,False,False,False,True,False,False,False,False,2024-09-14,2025-05-22,False,False
7,eCommerce e marketing automation: uno sguardo a Prestashop,https://blog.advmedialab.com/marketing-automation-prestashop,https://www.nurturehq.com/marketing-software-for-prestashop-ecommerce-stores/,Nurture,12,42,False,False,False,True,False,False,False,False,2024-09-07,2025-05-17,False,False
9,Four Industries Well-Suited for the Inbound Marketing Methodology,https://leadg2.thecenterforsalesstrategy.com/blog/four-industries-well-suited-for-inbound-marketing-methodology,https://www.nurturehq.com/tips/business-decision-makers-prefer-to-get-information-in-a-series-of-articles-versus-an-advertisement,80% of business decision-makers prefer to get company information in a series of articles versus an advertisement,12,56,False,False,False,True,False,False,False,False,2024-08-31,2025-05-31,False,False
7,What Is Lead Generation In Digital Marketing?,https://stevenjwilson.com/lead-generation-digital-marketing/,https://www.nurturehq.com/blog/lead-generation-statistics/,Nurture HQ,13,51,False,False,False,True,False,False,False,False,2024-09-01,2025-05-30,False,False
6,5 Ways a WordPress Event Registration Plugin Elevates Your Small Business - Coming Soon & Maintenance Mode for WordPress,https://comingsoonwp.com/wordpress-event-registration-plugin/,https://www.nurturehq.com/tips/creative-event-marketing-ideas-for-small-businesses,article of Nurture,16,41,False,False,False,True,False,False,False,False,2024-08-13,2025-05-20,False,False
7,B2B Lead Nurturing Strategies (Updated for 2023) | Gripped,https://gripped.io/lead-generation/6-b2b-lead-nurturing-strategies/,https://www.nurturehq.com/,NurtureHQ,16,80,False,False,False,True,False,False,False,False,2024-09-12,2025-06-05,False,False
7,The Biggest Stereotype About Marketing Automation,https://ducttapemarketing.com/marketing-automation-myth/,http://www.nurturehq.com/,Nurture,16,66,False,False,False,True,False,False,False,False,2024-09-05,2025-05-17,False,False
5,The Art and Science of Executing Effective Inbound Marketing in 2018,https://www.square2marketing.com/blog/the-art-and-science-of-executing-effective-inbound-marketing-in-2018,https://www.nurturehq.com/tips/business-decision-makers-prefer-to-get-information-in-a-series-of-articles-versus-an-advertisement,Around 80 percent of today’s consumers,17,65,False,False,False,True,False,False,False,False,2024-09-11,2025-05-25,False,False
6,7 дешевых программных решений для автоматизации маркетинга менее чем за 300 долларов в месяц - Цифровой маркетплейс,https://platforms.su/articles/3963,http://www.nurturehq.com/marketing-automation-pricing,Начальная цена,17,89,False,False,False,True,False,False,False,False,2025-01-03,2025-02-06,False,False
16,Customer Experience Matrix: Prediction: Statistical Methods Will Replace Conventional Rules for Marketing Decisions,http://customerexperiencematrix.blogspot.com/2009/05/prediction-statistical-methods-will.html,http://www.nurturehq.com/,Nurture,19,227,False,False,False,True,False,False,False,False,2025-01-28,2025-01-28,False,False
7,4 Ways to Crush It at Lead Generation,https://www.websitemagazine.com/marketing/4-ways-to-crush-it-at-lead-generation,https://www.nurturehq.com/tips/business-decision-makers-prefer-to-get-information-in-a-series-of-articles-versus-an-advertisement,Eighty percent of decision makers,19,33,False,False,False,True,False,False,False,False,2024-09-03,2025-06-05,False,False
11,Building a Seamless CSV Import Experience with Flatfile | Flatfile,https://flatfile.com/blog/optimizing-csv-import-experiences-flatfile-portal/,https://www.nurturehq.com/help/why-is-my-csv-file-failing-upload/,Nurture,19,83,False,False,False,True,False,False,False,False,2024-08-18,2025-05-31,False,False
10,4 Top Lead Generation Strategies for eCommerce | involve.me,https://www.involve.me/blog/lead-generation-strategies-for-ecommerce-businesses,https://www.nurturehq.com/blog/lead-generation-statistics/,60%,20,87,False,False,False,True,False,False,False,False,2024-09-06,2025-05-22,False,False
21,Here Are A Dozen Bargain Marketing Platforms for SMBs,https://alrawahfff.wixsite.com/bitcoin/post/here-are-a-dozen-bargain-marketing-platforms-for-smbs,http://www.nurturehq.com/,Nurture,22,71,False,False,False,True,False,False,False,False,2024-08-15,2025-01-24,False,False
9,Nurture Alternatives & Competitors - SaaSHub,https://www.saashub.com/nurture-alternatives,https://www.nurturehq.com/,Visit website,22,147,False,False,False,True,False,False,False,False,2024-12-11,2025-06-01,False,False
9,MakesBridge Offers Powerful Features to Small Business Marketers | CustomerThink,https://customerthink.com/makesbridge_offers_powerful_features_to_small_business_marketers/,http://www.nurturehq.com/,NurtureHQ,23,97,False,False,False,True,False,False,False,False,2024-08-15,2025-05-30,False,False
13,Website Analytics from the Basics to Behavioral Analytics Tools,https://capturly.com/blog/website-analytics-from-the-basics-to-heatmaps-and-session-replay/,https://www.nurturehq.com/tips/how-to-develop-trust-and-consistency-on-your-landing-page,landing page must be consistent,24,57,False,False,False,True,False,False,False,False,2024-09-06,2025-06-01,False,False
12,Twaalf spotgoedkope of gratis marketing automation oplossingen - Emerce,https://www.emerce.nl/achtergrond/twaalf-spotgoedkope-gratis-marketing-automation-oplossingen,http://www.nurturehq.com/,Nurture,28,124,False,False,False,True,False,False,False,False,2024-08-21,2025-06-02,False,False
17,Successful B2B Marketing Strategy: Ultimate Guide,https://marketing.sfgate.com/resources/b2b-marketing-guide,https://www.nurturehq.com/tips/business-decision-makers-prefer-to-get-information-in-a-series-of-articles-versus-an-advertisement,80% of business decision-makers prefer an article to an ad.,28,149,False,False,False,True,False,False,False,False,2024-08-30,2025-06-02,False,False
8,How to nail your next virtual event,https://new.mediaupdate.co.za/media/148578/how-to-nail-your-next-virtual-event,https://www.nurturehq.com/tips/go-virtual-explore-the-benefits-of-virtual-events,benefits of hosting a virtual event include,29,52,False,False,False,True,False,False,False,False,2024-09-17,2025-05-25,False,False
12,Here Are A Dozen Bargain Marketing Platforms for SMBs,https://martech.org/here-are-a-dozen-bargain-marketing-platforms-for-smbs/,http://www.nurturehq.com/,Nurture,30,114,False,False,False,True,False,False,False,False,2024-09-30,2025-05-30,False,False
9,75+ B2B Marketing Statistics | B2B Digital Marketing Stats,http://www.bluecorona.com/blog/75-b2b-marketing-statistics-2018-2019/,https://www.nurturehq.com/marketing-automation/,https://www.nurturehq.com/marketing-automation/,31,94,False,False,False,True,False,False,False,False,2024-09-14,2025-05-05,False,False
6,"Ultimate guide to effective lead generation. 50 facts - BarnRaisers, LLC",https://barnraisersllc.com/2016/04/04/ultimate-guide-for-effective-lead-generation-50-facts/,https://www.nurturehq.com/blog/lead-generation-statistics/,Nurture,34,32,False,False,False,True,False,False,False,False,2023-11-03,2025-02-27,False,True
6,100 Powerful B2B Lead Generation Statistics,https://www.digitalmediastream.co.uk/blog/100-powerful-b2b-lead-generation-statistics,https://www.nurturehq.com/marketing-automation/,Nurture,48,35,False,False,False,True,False,False,False,False,2024-07-26,2025-05-29,False,False
20,45 Conversion Rate Stats to Supercharge Your Strategy in 2025,https://techjury.net/blog/conversion-rate-stats/,https://www.nurturehq.com/blog/lead-generation-statistics/,Nurture,49,94,False,False,False,True,False,False,False,False,2024-09-08,2025-05-09,False,False
15,40+ Of The Best Marketing Automation Tools For Your Business,https://referralrock.com/blog/marketing-automation-tools/,https://www.nurturehq.com/,Nurture,51,103,False,False,False,True,False,False,False,False,2024-07-19,2025-06-05,False,False
9,80+ B2B Marketing Tools for 2024,https://www.ai-bees.io/post/b2b-marketing-tools,"https://www.nurturehq.com/tips/business-decision-makers-prefer-to-get-information-in-a-series-of-articles-versus-an-advertisement#:~:text=1.,before%20taking%20their%20buying%20decisions.",80% of corporate decision-makers,106,78,False,False,False,True,False,False,False,False,2024-09-29,2025-05-30,False,False
