Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
6,Keeping patients active throughout coronavirus lockdown - Hub Publishing,https://hubpublishing.co.uk/health-organisations-offered-tech-and-virtual-solutions-to-keep-patients-active-through-coronavirus/,https://iprescribeexercise.com/,App Store,6,28,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,18/07/2022,6/05/2025,FALSE,TRUE
9,Latest jobs at iPrescribe Exercise | Escape the City,https://www.escapethecity.org/organisation/iprescribe-exercise,https://iprescribeexercise.com/,Website,6,44,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6/11/2024,25/04/2025,FALSE,FALSE
13,COVID-19: Digital solutions | The Chartered Society of Physiotherapy,https://acpopc.csp.org.uk/frontline/article/covid-19-digital-solutions-0,https://iprescribeexercise.com/,iprescribeexercise.com,12,177,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,17/12/2024,16/01/2025,FALSE,TRUE
7,iPrescribe Exercise: Helping Your Patients Meet Recommended Fitness Goals - iMedicalApps,https://www.imedicalapps.com/2016/10/iprescribe-exercise-helping-patients-meet-recommended-fitness-goals/,http://www.iprescribeexercise.com/,iPrescribe Exercise,14,41,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,23/05/2024,28/04/2025,FALSE,FALSE
9,Startups help revolutionise access to sports and activity information | The ODI,https://theodi.org/news-and-events/blog/startups-help-revolutionise-access-to-sports-and-activity-information/,http://www.iprescribeexercise.com/,logo-full-size-Lewis-Manning-1-284x300.jpg,16,37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,17/04/2024,28/04/2025,FALSE,FALSE
19,"The New Move That Targets Inner Thigh Fat, Plus 2 More Fitness Updates You Should Know | Prevention",https://www.prevention.com/fitness/a20469497/the-new-move-that-targets-inner-thigh-fat-plus-2-more-fitness-updates-you-should-know/,http://iprescribeexercise.com/,iprescribeexercise.com,19,58,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,14/10/2024,25/04/2025,FALSE,FALSE
6,TrainAsONE Selected For OpenActive Accelerator | TrainAsONE,https://trainasone.com/company/trainasone-selected-for-openactive-accelerator/,http://www.iprescribeexercise.com/,iPrescribe Exercise,19,90,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,14/05/2024,25/04/2025,FALSE,FALSE
13,Fitness app gives patients with long-term conditions a prescription for exercise - The Pharmaceutical Journal,https://pharmaceutical-journal.com/article/opinion/fitness-app-gives-patients-with-long-term-conditions-a-prescription-for-exercise,https://iprescribeexercise.com/,iPrescribe Exercise,23,141,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,14/07/2024,9/02/2025,FALSE,FALSE
10,Rewired 2020 to focus on start-ups and innovation,https://www.digitalhealth.net/2019/10/rewired-2020-start-ups-innovation-focus/,https://iprescribeexercise.com/,iPrescribe Exercise,24,82,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,12/05/2024,11/05/2025,FALSE,FALSE
8,Together: What does Coronavirus mean for the digital future of the physical activity sector? | ukactive,https://www.ukactive.com/blog/together-what-does-coronavirus-mean-for-the-digital-future-of-the-physical-activity-sector/,https://iprescribeexercise.com/clinical#88a7d975-a1e6-44c5-a586-9fd1cd36ee2f,release of its Apple Watch and Android app,25,59,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,13/10/2023,26/04/2025,FALSE,FALSE
5,Beanstalks 2017 | GIANT Health London 8-9 December 2025,https://www.giant.health/beanstalks-2017,https://www.iprescribeexercise.com/,iPrescribe Exercise,36,28,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,24/12/2023,8/05/2025,FALSE,FALSE
12,Health information | London Borough of Barking and Dagenham,https://www.lbbd.gov.uk/adult-health-and-social-care/health-and-wellbeing/health-information,https://iprescribeexercise.com/,iPrescribe Exercise,60,45,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,18/01/2024,11/05/2025,FALSE,FALSE
